model,layer,expert_i,expert_j,comparison,category,same_group_a0,same_group_a05,same_group_a1,hc_mean_l2,hc_mean_rel_l2,coactivation_rate,routing_jaccard,active_union_rel_l2,corouted_rel_l2,num_union_tokens,num_corouted_tokens
qwen,0,3,29,0_vs_05,hybrid_only_vs_hc,False,True,False,0.2653428912162781,1.4298861026763916,0.00384521484375,0.0274032187907786,1.4706524371478598,1.4917925766536169,2299,63
qwen,0,3,30,05_vs_1,hybrid_only_vs_routing,False,True,False,0.26856574416160583,1.3881349563598633,0.00189208984375,0.013501742160278746,1.4631022788090988,nan,2296,31
qwen,0,3,30,0_vs_05,hybrid_only_vs_hc,False,True,False,0.26856574416160583,1.3881349563598633,0.00189208984375,0.013501742160278746,1.4631022788090988,nan,2296,31
qwen,0,3,31,05_vs_1,routing_only,False,False,True,0.5122635960578918,1.4067631959915161,0.00238037109375,0.016476552598225603,1.441403965130102,1.4101427915768745,2367,39
qwen,0,3,34,05_vs_1,shared_05_1,False,True,True,0.360032856464386,1.3005592823028564,0.00146484375,0.010037641154328732,1.4402591656661343,nan,2391,24
qwen,0,3,34,0_vs_05,hybrid_only_vs_hc,False,True,True,0.360032856464386,1.3005592823028564,0.00146484375,0.010037641154328732,1.4402591656661343,nan,2391,24
qwen,0,3,35,05_vs_1,shared_05_1,False,True,True,0.2615664303302765,1.376326084136963,0.00341796875,0.023362536503963287,1.4753050237185368,1.5132774008171899,2397,56
qwen,0,3,35,0_vs_05,hybrid_only_vs_hc,False,True,True,0.2615664303302765,1.376326084136963,0.00341796875,0.023362536503963287,1.4753050237185368,1.5132774008171899,2397,56
qwen,0,3,37,05_vs_1,routing_only,False,False,True,0.8253828287124634,1.575920820236206,0.00152587890625,0.010495382031905962,1.529533885488182,nan,2382,25
qwen,0,3,38,05_vs_1,shared_05_1,False,True,True,0.3415355980396271,1.32040536403656,0.006591796875,0.044462741869081925,1.4165903949698286,1.4019294193497411,2429,108
qwen,0,3,38,0_vs_05,hybrid_only_vs_hc,False,True,True,0.3415355980396271,1.32040536403656,0.006591796875,0.044462741869081925,1.4165903949698286,1.4019294193497411,2429,108
